id,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,height,weight,abilities,description
49,Venomoth,Bug,Poison,70,65,60,90,75,90,15,125,"Shield Dust, Tinted Lens",The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.
50,Diglett,Ground,,10,55,25,35,45,95,2,8,"Sand Veil, Arena Trap",Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
51,Dugtrio,Ground,,35,100,50,50,70,120,7,333,"Sand Veil, Arena Trap",A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
52,Meowth,Normal,,40,45,35,40,40,90,4,42,"Pickup, Technician",It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.
53,Persian,Normal,,65,70,60,65,65,115,10,320,"Limber, Technician","Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
54,Psyduck,Water,,50,52,48,65,50,55,8,196,"Damp, Cloud Nine","While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers."
55,Golduck,Water,,80,82,78,95,80,85,17,766,"Damp, Cloud Nine","Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
56,Mankey,Fighting,,40,80,35,35,45,70,5,280,"Vital Spirit, Anger Point",Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
57,Primeape,Fighting,,65,105,60,60,70,95,10,320,"Vital Spirit, Anger Point",Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
58,Growlithe,Fire,,55,70,45,70,50,60,7,190,"Intimidate, Flash Fire",Very protective of its territory. It will bark and bite to repel intruders from its space.
59,Arcanine,Fire,,90,110,80,100,80,95,19,1550,"Intimidate, Flash Fire",A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.
60,Poliwag,Water,,40,50,40,40,40,90,6,124,"Water Absorb, Damp",Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
61,Poliwhirl,Water,,65,65,65,50,50,90,10,200,"Water Absorb, Damp","Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,13,540,"Water Absorb, Damp",An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.
63,Abra,Psychic,,25,20,15,105,55,90,9,195,"Synchronize, Inner Focus","Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
64,Kadabra,Psychic,,40,35,30,120,70,105,13,565,"Synchronize, Inner Focus",It emits special alpha waves from its body that induce headaches just by being close by.
65,Alakazam,Psychic,,55,50,45,135,95,120,15,480,"Synchronize, Inner Focus","Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000."
66,Machop,Fighting,,70,80,50,35,35,35,8,195,"Guts, No Guard",Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
67,Machoke,Fighting,,80,100,70,50,60,45,15,705,"Guts, No Guard","Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
68,Machamp,Fighting,,90,130,80,65,85,55,16,1300,"Guts, No Guard","Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,7,40,"Chlorophyll, Gluttony",A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,10,64,"Chlorophyll, Gluttony",It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
71,Victreebel,Grass,Poison,80,105,65,100,70,70,17,155,"Chlorophyll, Gluttony","Said to live in huge colonies deep in jungles, although no one has ever returned from there."
72,Tentacool,Water,Poison,40,40,35,50,100,70,9,455,"Clear Body, Liquid Ooze",Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
73,Tentacruel,Water,Poison,80,70,65,80,120,100,16,550,"Clear Body, Liquid Ooze","The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
74,Geodude,Rock,Ground,40,80,100,30,30,20,4,200,"Rock Head, Sturdy","Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
75,Graveler,Rock,Ground,55,95,115,45,45,35,10,1050,"Rock Head, Sturdy",Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
76,Golem,Rock,Ground,80,120,130,55,65,45,14,3000,"Rock Head, Sturdy",Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.
77,Ponyta,Fire,,50,85,55,65,65,90,10,300,"Run Away, Flash Fire",Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
78,Rapidash,Fire,,65,100,70,80,80,105,17,950,"Run Away, Flash Fire","Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it."
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,12,360,"Oblivious, Own Tempo",Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
80,Slowbro,Water,Psychic,95,75,110,100,80,30,16,785,"Oblivious, Own Tempo",The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.
81,Magnemite,Electric,Steel,25,35,70,95,55,45,3,60,"Magnet Pull, Sturdy",Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.
82,Magneton,Electric,Steel,50,60,95,120,70,70,10,600,"Magnet Pull, Sturdy",Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.
83,Farfetchd,Normal,Flying,52,90,55,58,62,60,8,150,"Keen Eye, Inner Focus",The sprig of green onions it holds is its weapon. It is used much like a metal sword.
84,Doduo,Normal,Flying,35,85,45,35,35,75,14,392,"Run Away, Early Bird",A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
85,Dodrio,Normal,Flying,60,110,70,60,60,110,18,852,"Run Away, Early Bird","Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
86,Seel,Water,,65,45,55,45,70,45,11,900,"Thick Fat, Hydration",The protruding horn on its head is very hard. It is used for bashing through thick ice.
87,Dewgong,Water,Ice,90,70,80,70,95,70,17,1200,"Thick Fat, Hydration",Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
88,Grimer,Poison,,80,80,50,40,50,25,9,300,"Stench, Sticky Hold",Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.
89,Muk,Poison,,105,105,75,65,100,50,12,300,"Stench, Sticky Hold","Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
90,Shellder,Water,,30,65,100,45,25,40,3,40,"Shell Armor, Skill Link",Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
91,Cloyster,Water,Ice,50,95,180,85,45,70,15,1325,"Shell Armor, Skill Link","When attacked, it launches its horns in quick volleys. Its innards have never been seen."
92,Gastly,Ghost,Poison,30,35,30,100,35,80,13,1,Levitate,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice."
93,Haunter,Ghost,Poison,45,50,45,115,55,95,16,1,Levitate,"Because of its ability to slip through block walls, it is said to be from an­ other dimension."
94,Gengar,Ghost,Poison,60,65,60,130,75,110,15,405,Cursed Body,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright."
95,Onix,Rock,Ground,35,45,160,30,45,70,88,2100,"Rock Head, Sturdy","As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
96,Drowzee,Psychic,,60,48,45,43,90,42,10,324,"Insomnia, Forewarn",Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
97,Hypno,Psychic,,85,73,70,73,115,67,16,756,"Insomnia, Forewarn","When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
98,Krabby,Water,,30,105,90,25,25,50,4,65,"Hyper Cutter, Shell Armor","Its pincers are not only powerful weapons, they are used for balance when walking sideways."
99,Kingler,Water,,55,130,115,50,50,75,13,600,"Hyper Cutter, Shell Armor","The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
100,Voltorb,Electric,,40,30,50,55,55,100,5,104,"Soundproof, Static","Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people."
101,Electrode,Electric,,60,50,70,80,80,150,12,666,"Soundproof, Static",It stores electric energy under very high pressure. It often explodes with little or no provocation.
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,4,25,"Chlorophyll, Harvest","Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
103,Exeggutor,Grass,Psychic,95,95,85,125,75,55,20,1200,"Chlorophyll, Harvest","Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
104,Cubone,Ground,,50,50,95,40,50,35,4,65,"Rock Head, Lightning Rod","Because it never removes its skull helmet, no one has ever seen this POKéMON's real face."
105,Marowak,Ground,,60,80,110,50,80,45,10,450,"Rock Head, Lightning Rod",The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
106,Hitmonlee,Fighting,,50,120,53,35,110,87,15,498,"Limber, Reckless","When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
107,Hitmonchan,Fighting,,50,105,79,35,110,76,14,502,"Keen Eye, Iron Fist","While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
108,Lickitung,Normal,,90,55,75,60,75,30,12,655,"Own Tempo, Oblivious",Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.
109,Koffing,Poison,,40,65,95,60,45,35,6,10,"Levitate, Neutralizing Gas","Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
110,Weezing,Poison,,65,90,120,85,70,60,12,95,"Levitate, Neutralizing Gas","Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,10,1150,"Lightning Rod, Rock Head","A POKéMON with a one-track mind. Once it charges,  it won't stop running until it falls asleep."
112,Rhydon,Ground,Rock,105,130,120,45,45,40,19,1200,"Lightning Rod, Rock Head","Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
113,Chansey,Normal,,250,5,5,35,105,50,11,346,"Natural Cure, Serene Grace",A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.
114,Tangela,Grass,,65,55,115,100,40,60,10,350,"Chlorophyll, Leaf Guard",The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.
115,Kangaskhan,Normal,,105,95,80,40,80,90,22,800,"Early Bird, Scrappy",The infant rarely ventures out of its mother's protective pouch until it is 3 years old.
116,Horsea,Water,,30,40,70,70,25,60,4,80,"Swift Swim, Sniper",Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
117,Seadra,Water,,55,65,95,95,45,85,12,250,"Poison Point, Sniper",Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail.
118,Goldeen,Water,,45,67,60,35,50,63,6,150,"Swift Swim, Water Veil","Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
119,Seaking,Water,,80,92,65,65,80,68,13,390,"Swift Swim, Water Veil","In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
120,Staryu,Water,,30,45,55,70,55,85,8,345,"Illuminate, Natural Cure","If its body is torn, it can grow back if the red core remains. The core flashes at midnight."
121,Starmie,Water,Psychic,60,75,85,100,85,115,11,800,"Illuminate, Natural Cure",Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
122,Mr-mime,Psychic,Fairy,40,45,65,100,120,90,13,545,"Soundproof, Filter","If interrupted while it is miming, it will slap around the offender with its broad hands."
123,Scyther,Bug,Flying,70,110,80,55,80,105,15,560,"Swarm, Technician","With ninja-like agility and speed, it can create the illusion that there is more than one."
124,Jynx,Ice,Psychic,65,50,35,115,95,95,14,406,"Oblivious, Forewarn",It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
125,Electabuzz,Electric,,65,83,57,95,85,105,11,300,"Static, Vital Spirit","Normally found near power plants, they can wander away and cause major blackouts in cities."
126,Magmar,Fire,,65,95,57,100,85,93,13,445,"Flame Body, Vital Spirit",Its body always burns with an orange glow that enables it to hide perfectly among flames.
127,Pinsir,Bug,,65,125,100,55,70,85,15,550,"Hyper Cutter, Mold Breaker","If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
128,Tauros,Normal,,75,100,95,40,70,110,14,884,"Intimidate, Anger Point","When it targets an enemy, it charges furiously while whipping its body with its long tails."
129,Magikarp,Water,,20,10,55,15,20,80,9,100,"Swift Swim, Rattled","In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
130,Gyarados,Water,Flying,95,125,79,60,100,81,65,2350,"Intimidate, Moxie","Once it begins to rampage, a GYARADOS will burn everything down, even in a harsh storm."
131,Lapras,Water,Ice,130,85,80,85,95,60,25,2200,"Water Absorb, Shell Armor",A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.
132,Ditto,Normal,,48,48,48,48,48,48,3,40,"Limber, Imposter",Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.
133,Eevee,Normal,,55,55,50,45,65,55,3,65,"Run Away, Adaptability",Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
134,Vaporeon,Water,,130,65,60,110,95,65,10,290,"Water Absorb, Hydration",Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.
135,Jolteon,Electric,,65,65,60,110,95,130,8,245,"Volt Absorb, Quick Feet",It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts.
136,Flareon,Fire,,65,130,60,95,110,65,9,250,"Flash Fire, Guts","When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
137,Porygon,Normal,,65,60,70,85,75,40,8,365,"Trace, Download",A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.
138,Omanyte,Rock,Water,35,40,100,90,55,35,4,75,"Swift Swim, Shell Armor","Although long extinct, in rare cases, it can be genetically resurrected from fossils."
139,Omastar,Rock,Water,70,60,125,115,70,55,10,350,"Swift Swim, Shell Armor",A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.
140,Kabuto,Rock,Water,30,80,90,55,45,55,5,115,"Swift Swim, Battle Armor",A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.
141,Kabutops,Rock,Water,60,115,105,65,70,80,13,405,"Swift Swim, Battle Armor",Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids.
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,18,590,"Rock Head, Pressure",A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
143,Snorlax,Normal,,160,110,65,65,110,30,21,4600,"Immunity, Thick Fat","Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
144,Articuno,Ice,Flying,90,85,100,95,125,85,17,554,"Pressure, Snow Cloak",A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.
145,Zapdos,Electric,Flying,90,90,85,125,90,100,16,526,"Pressure, Static",A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.
146,Moltres,Fire,Flying,90,100,90,125,85,90,20,600,"Pressure, Flame Body",Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
147,Dratini,Dragon,,41,64,45,50,50,50,18,33,"Shed Skin, Marvel Scale",Long considered a mythical POKéMON until recently when a small colony was found living underwater.
148,Dragonair,Dragon,,61,84,65,70,70,70,40,165,"Shed Skin, Marvel Scale",A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,22,2100,"Inner Focus, Multiscale",An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.
150,Mewtwo,Psychic,,106,110,90,154,90,130,20,1220,"Pressure, Unnerve",It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.
151,Mew,Psychic,,100,100,100,100,100,100,4,40,Synchronize,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.
152,Chikorita,Grass,,45,49,65,49,65,45,9,64,"Overgrow, Leaf Guard",A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays.
153,Bayleef,Grass,,60,62,80,63,80,60,12,158,"Overgrow, Leaf Guard","The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight."
154,Meganium,Grass,,80,82,100,83,100,80,18,1005,"Overgrow, Leaf Guard",The aroma that rises from its petals contains a substance that calms aggressive feelings.
155,Cyndaquil,Fire,,39,52,43,60,50,65,5,79,"Blaze, Flash Fire","It has a timid nature. If it is startled, the flames on its back burn more vigorously."
156,Quilava,Fire,,58,64,58,80,65,80,9,190,"Blaze, Flash Fire",Be careful if it turns its back during battle. It means that it will attack with the fire on its back.
157,Typhlosion,Fire,,78,84,78,109,85,100,17,795,"Blaze, Flash Fire","If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
158,Totodile,Water,,50,65,64,44,48,43,6,95,"Torrent, Sheer Force",Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.
159,Croconaw,Water,,65,80,80,59,63,58,11,250,"Torrent, Sheer Force","If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
160,Feraligatr,Water,,85,105,100,79,83,78,23,888,"Torrent, Sheer Force","When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up."
161,Sentret,Normal,,35,46,34,35,45,20,8,60,"Run Away, Keen Eye","A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings."
162,Furret,Normal,,85,76,64,45,55,90,18,325,"Run Away, Keen Eye",It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.
163,Hoothoot,Normal,Flying,60,30,30,36,56,50,7,212,"Insomnia, Keen Eye","It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
164,Noctowl,Normal,Flying,100,50,50,86,96,70,16,408,"Insomnia, Keen Eye",Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.
165,Ledyba,Bug,Flying,40,20,30,40,80,55,10,108,"Swarm, Early Bird",It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.
166,Ledian,Bug,Flying,55,35,50,55,110,85,14,356,"Swarm, Early Bird","When the stars flicker in the night sky, it flutters about, scattering a glowing powder."
167,Spinarak,Bug,Poison,40,60,40,40,40,30,5,85,"Swarm, Insomnia","It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
168,Ariados,Bug,Poison,70,90,70,60,70,40,11,335,"Swarm, Insomnia",It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.
169,Crobat,Poison,Flying,85,90,80,70,80,130,18,750,"Inner Focus, Infiltrator",It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby.
170,Chinchou,Water,Electric,75,38,38,56,56,67,5,120,"Volt Absorb, Illuminate",Chinchou blink their shining antennae at one another to claim their respective turf.
171,Lanturn,Water,Electric,125,58,58,76,76,67,12,225,"Volt Absorb, Illuminate",The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.
172,Pichu,Electric,,20,40,15,35,35,60,3,20,"Static, Lightning Rod",It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.
173,Cleffa,Fairy,,50,25,28,45,55,15,3,30,"Cute Charm, Magic Guard","Because of its unusual, star-like silhouette, people believe that it came here on a meteor."
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15,3,10,"Cute Charm, Competitive","It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
175,Togepi,Fairy,,35,20,65,40,65,20,3,15,"Hustle, Serene Grace",The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.
176,Togetic,Fairy,Flying,55,40,85,80,105,40,6,32,"Hustle, Serene Grace","They say that it will appear before kindhearted, car­ ing people and shower them with happiness."
177,Natu,Psychic,Flying,40,50,45,70,45,70,2,20,"Synchronize, Early Bird","Because its wings aren't yet fully grown, it has to hop to get around. It is always star­ ing at something."
178,Xatu,Psychic,Flying,65,75,70,95,70,95,15,150,"Synchronize, Early Bird",They say that it stays still and quiet because it is seeing both the past and future at the same time.
179,Mareep,Electric,,55,40,40,65,45,35,6,78,"Static, Plus","If static elec­ tricity builds in its body, its fleece doubles in volume. Touching it will shock you."
180,Flaaffy,Electric,,70,55,55,80,60,45,8,133,"Static, Plus","As a result of storing too much electricity, it developed patches where even downy wool won't grow."
181,Ampharos,Electric,,90,75,85,115,90,55,14,615,"Static, Plus",The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
